location,store,address,country,country_code,day,time,organizer,description,last_verified,lat,lng,precision
"Portland, OR, USA",Portland Game Store,"922 N Killingsworth ST, Portland, OR 97217",USA,us,Mondays,6:15 PM,https://discord.gg/n8nQ3uFQxv,"50 proxies allowed, $5 entry",Dec 2 2025,45.562506,-122.676507,address
"Sacramento, CA, USA",Pull N Play Tabletop Games,"8241 Bruceville Rd #190, Sacramento, CA 95823",USA,us,Wednesdays,6:00 PM,https://discord.gg/uANwCxe6kN,"Full proxy-friendly, $5 entry, Quarterly Win-a-Duals $30 entry",Jul 2 2026,38.458879,-121.417196,address
"San Carlos, CA, USA",Merlion Games,"628 El Camino Real, San Carlos, CA 94070",USA,us,Once a month,1:00 PM,https://discord.gg/sMZZwpAuxm,"Full proxy-friendly, $25 entry",Jul 2 2026,37.495002,-122.245833,address
"Santa Fe, NM, USA",WZKDs,"4250 Cerrillos Rd, Santa Fe, NM 87507",USA,us,Wednesday/Sunday,2:00 PM,https://discord.gg/cvdBgsq7,"Full proxy-friendly, $10 entry, loaner decks available, casual games Wednesdays and Fridays 5:00 PM",Dec 2 2025,35.635972,-106.014606,address
"Shawnee, KS, USA",The Geekery,"12616 W 62nd Terrace #117, Shawnee, KS 66216",USA,us,Saturdays,5:00 PM,https://discord.gg/NuXUFfhPUK,"Full proxy-friendly, $5 entry, top X win store credit",Dec 2 2025,39.016072,-94.731138,address
"Silver Spring, MD, USA",Dice City Games,"11406-B Georgia Ave Suite B, Silver Spring, MD 20902",USA,us,Most Sundays,3:30 PM,,"15 proxies, $15 entry, positive records win store credit, check calendar for exact dates",Dec 2 2025,39.022924,-77.045196,address
"Snohomish, WA, USA",Geek Fortress,"1207 13th St suite k, Snohomish, WA 98290",USA,us,Fridays,7:00 PM,https://discord.gg/9VKehWFAYV,"Competitive tournament, Full proxy-friendly, $10 entry",Dec 2 2025,47.927028,-122.096861,address
"Sunnyvale, CA, USA",CardArt,"781 E El Camino Real Suite 100, Sunnyvale, CA 94087",USA,us,Sundays,1:00 PM,https://discord.gg/Z8vmScm6,"Full proxy-friendly, $5 entry, loaner decks available",Jul 2 2026,37.357499,-122.018331,address
"Vacaville, CA, USA",Forgotten Path Games,"1919 Peabody Rd, Vacaville, CA 95687",USA,us,3rd Sunday of every month,3:00 PM,https://discord.gg/uANwCxe6kN,"Full proxy-friendly, $20 entry",Jul 2 2026,38.337030,-121.970204,address
"Waltham, MA, USA",Game Underground,"349 Moody St, Waltham, MA 02453",USA,us,Wednesdays,7:00 PM,beatmaniaiidx,"Full proxy-friendly, $10 entry, $5 back in store credit per win",Dec 3 2025,42.370321,-71.237179,address
"West Milford, NJ, USA",Progress CCG,"2019 Greenwood Lake Turnpike, Unit G, West Milford, NJ, 07421",USA,us,Every other Friday,6:00 PM,https://discord.gg/Yj7gE6BsBc,"Full proxy-friendly, Prizing TBD",Dec 3 2025,41.152839,-74.349948,address
"Whitinsville, MA, USA",Great Stories,"1167 Providence Rd #4, Whitinsville, MA 01588",USA,us,Wednesdays and Sundays,6:30 PM,,"$10 entry with 7 or fewer proxies, $15 for 8+",Dec 3 2025,42.102827,-71.640457,address
"Wilmington, NC, USA",Cape Fear Games,"4107 Oleander Dr STE D, Wilmington, NC 28403",USA,us,"Mondays, Once a Month",6:30 PM,,$10 entry https://www.capefeargamesilm.com/monthly-canadian-highlander.html,Dec 23 2025,34.212120,-77.894564,address
"York, PA, USA",1st Capital Gaming,"2512 Eastern Blvd Suite 25, York, PA. 17402",USA,us,1st and 3rd Sundays,12:30 PM,https://discord.gg/BdTarJnSAe,"1st Sunday 15-proxies, $10 entry, store credit by record based on attendance. 3rd Sunday full proxy-friendly casual jam meetup.",Aug 11 2026,39.972947,-76.676834,address
"Bellingham, WA, USA",Aegis Games Taproom,"1427 Railroad Ave, Bellingham, WA 98225",USA,us,Last Saturday of every month,6:00 PM,https://discord.gg/7ukSryaSUC,,,48.751061,-122.475892,address
"Indiana, PA, USA",SCG Hobby,"1450 Oakland Ave, Indiana, PA 15725",USA,us,Last Monday each month,6:30 PM,,"Full proxy-friendly, free entry. Store credit based on attendance and promo packs based on availability. Loaner decks available.","Aug 26, 2026",40.615163,-79.167576,address
"Calgary, AB, Canada",First Player,"1212 34 Ave SE #120, Calgary, AB T2G 1V7",Canada,ca,Wednesdays,7:00 PM,https://discord.gg/cVkGq5Er,"Full proxy friendly, $10 entry",,51.023781,-114.037292,address
"Chilliwack, BC, Canada",Bastion Games,"45610 Yale Rd, Chilliwack, BC V2P 2N2",Canada,ca,Once a month,12:30 PM,https://discord.gg/nc8KGvgSpr,"Full proxy-friendly, $25 entry",,49.163702,-121.959054,address
"Courtenay, BC, Canada",Colossal Cards & Collectables,"542 Comox Rd, Courtenay, BC V9N 3P6",Canada,ca,Mondays,5:30 PM,,"Free entry, 10 proxy limit. Soon to start monthly tournaments with paid entry.",,49.693433,-124.991881,address
"Nanaimo, BC, Canada",Sports Card Alley,"2220 Bowen Road, Nanaimo, BC V9S 1H9",Canada,ca,Fridays,5:00 PM,https://discord.gg/nSpQGurHSB,"Full proxy friendly, casual, free entry",,49.193033,-123.992019,address
"Port Coquitlam, BC, Canada",Treasure Chest Games & Collectibles,"3274 Coast Meridian Rd, Port Coquitlam, BC V3B 3N4",Canada,ca,,,,"Casual jam, 100% proxy friendly",,49.252978,-122.762179,address
"Victoria, BC, Canada",Yellowjacket Comics & Games,"688 Broughton St, Victoria, BC V8W 1C9",Canada,ca,Mondays,6:15 PM,,"Competitive, 10 proxy limit (CE/IE & gold border excluded), $5 entry, $10 double-up last Monday of each month",Jul 2 2026,48.424110,-123.365999,address
"Vancouver, BC, Canada",The Connection Games & Hobbies,"2945 Renfrew St, Vancouver, BC V5M 3K5",Canada,ca,Every other Monday,6:30 PM,,"Competitive, 20 proxy limit, $9 entry",Dec 3 2025,49.257722,-123.044640,address
"Vancouver, BC, Canada",West Coast Hobbies,"3173 Main St, Vancouver, BC V5T 4R2",Canada,ca,Every other Monday (opposite connections),6:00 PM,,"Full proxy friendly, $10 entry, 3 round swiss",Aug 26 2026,49.257005,-123.101484,address
"White Rock, BC, Canada",Screen Free Games,"Semiahmoo Mall, 1711 152 St #134, Surrey, BC V4A 4N3",Canada,ca,Once every two months,6:00 PM,,"Full proxy friendly, $10 entry",,49.033134,-122.801288,address
"Guelph, ON, Canada",The Round Table,"32 Essex St, Guelph, ON N1H 3K8",Canada,ca,Every Saturday,1:00 PM,https://discord.gg/Vb8sHzhv84,"Full proxy-friendly, $5 entry",Dec 13 2025,43.541088,-80.249070,address
"Newmarket, ON, Canada",Enter the Battlefield (Newmarket),"81 Davis Dr, Newmarket, ON L3Y 2M9",Canada,ca,Last Saturday of every month,3:30 PM,https://discord.gg/5mRzuwdnzF,"Full proxy-friendly, $10 entry, DM Rick on the Canlander discord for more info",Dec 3 2025,44.055896,-79.476674,address
"Newmarket, ON, Canada",Enter the Battlefield (Newmarket),"81 Davis Dr, Newmarket, ON L3Y 2M9",Canada,ca,Thursdays,7:00 PM,https://discord.gg/5mRzuwdnzF,"Full proxy-friendly, $5 entry",Dec 3 2025,44.055896,-79.476674,address
"Oakville, ON, Canada",Enter the Battlefield (Oakville),"2172 Speers Rd, Oakville, ON L6L 2X8",Canada,ca,Second Saturday of every month,12:00 PM,https://discord.gg/bEgxnyr,"Full proxy-friendly, $10 entry",,43.413522,-79.721366,address
"Toronto, ON, Canada",Kung Fu Tea,"584 Yonge St, Toronto, ON M4Y 1Z3",Canada,ca,1st Saturday of every month,7:00 PM,violeteventide / mantikorew,DM Viole(n)t Eventide on the Canlander discord for more info,,43.665227,-79.384848,address
"Windsor, ON, Canada",The CG Realm,"1214 Ottawa St Unit 201, Windsor, ON N8X 2E5",Canada,ca,Monthly on Saturdays,12:30 PM,https://discord.gg/8aYXBXczJT,"Full proxy-friendly, $10 entry, check calendar on thecgrealm.com, DM TheCheeseStandsAlone for more info",Dec 3 2025,42.309790,-83.013266,address
"Ottawa, ON, Canada",Nabema Collectibles,"1615 Orléans Boulevard, Ottawa, Ontario K1C 7E2",Canada,ca,Every other Monday (starting March 2 2026),6:30 PM,https://discord.gg/EmEHEpjhVU,"Full proxy-friendly, $10 entry","Feb.23, 2026",45.460328,-75.523556,address
"Montreal, QC, Canada",Centre de Jeux Alt F4,"7715 Av. Papineau #103, Montreal, Quebec H2E 2H4",Canada,ca,Every second Tuesday,7:00 PM,https://discord.gg/3BksU6kcTk,Proxies of Reserved List cards + 5 allowed,,45.551530,-73.614820,address
"Greenwood, NS, Canada",Rynx's Rec Room,"963 Central Ave, Greenwood, NS B0P 1N0",Canada,ca,Tuesdays,7:00 PM,onetruetony,"Proxies allowed, $4 + 1 booster entry","March 19, 2026",44.968114,-64.924997,address
"Lyngby, Hovedstaden, Denmark",Faraos Cigarer Lyngby,"Lyngby Storcenter 1, 2800 Kongens Lyngby",Denmark,dk,Last (Sunday of an even week) of each month,11:00 AM,"Facebook group ""Scandinavian Highlander""","Play-test cards allowed, 50 dkk entry, 5 rounds",2026-08-23,55.769123,12.501325,poi
"Hamburg, Hamburg, Germany",Harburger Magicbuden e. V,"Gazertstraße 26, 21075 Hamburg",Germany,de,,12:00 PM,https://discord.gg/5YpgBuz,"Full proxy-friendly, 11€ entry",,53.462066,9.965946,address
"Cottbus, Brandenburg, Germany",Muggefug e.V.,"Papitzer Str. 4, 03046 Cottbus, Germany",Germany,de,Mondays,5:00 PM,,"Full proxy-friendly, no entry fee. Monthly tournaments starting 3 Aug, 5€ entry","July 2, 2026",51.765834,14.320398,address
"Bremen, Bremen, Germany",Fuhrious TC,"Findorffstraße 105, 28215 Bremen",Germany,de,Once a month,12:00 PM,https://discord.gg/AtNEDtehwH,"Full proxy-friendly, 7€ entry",Jan 21 2026,53.090084,8.813252,address
"Oldenburg, Lower Saxony, Germany",Itemstar,"Haarenstraße 43, 26122 Oldenburg",Germany,de,,10:30 AM,https://discord.gg/xkj7kt4,Full proxy-friendly,,53.140779,8.210040,address
"Trier, Rhineland-Palatinate, Germany",XComics,"Neustraße 11, 54290 Trier",Germany,de,Every other Friday,19:00,,"Full proxy-friendly, 7€ entry",,49.752792,6.639077,address
"Berlin, Berlin, Germany",,"Dennewitzstraße 7, 10785 Berlin",Germany,de,"Sundays, Once a month",15:00,Contact Willy for the WhatsApp group,"Full proxy-friendly, casual jams",,52.499197,13.369386,address
"Lausanne, Vaud, Switzerland",Azcanta Tournaments,"Av. du Grey 1, 1004 Lausanne",Switzerland,ch,4th Tuesday of every month,18:30,edidimyu,"Full proxy-friendly, Free entry (must be a member of the org, check out https://azcanta-tournaments.ch/ for details)",Feb 23 2026,46.531748,6.617263,address
"Glasgow, Scotland, UK",Geek-aboo,"74 Queen St, Glasgow G1 3DS",UK,gb,Saturdays,14:00,,Full proxy-friendy,,55.858968,-4.252280,address
"Glasgow, Scotland, UK",Drury St,"Drury St, Glasgow G2 5AA",UK,gb,Mondays,,https://discord.gg/3hHj7S4yy8,Full proxy-friendy,,55.860960,-4.256136,address
"Nottingham, England, UK",The Dice Cup,"68-70 Mansfield Rd, Nottingham NG1 3GY",UK,gb,Sundays,11:00 AM,,"Full proxy-friendly, £5 entry, typically 4 rounds. Prizes as store credit split amongst positive records.",Jul 4 2026,52.958494,-1.149191,address
"Ely, England, UK",High Flyer,"69 Newnham St, ELY CB7 4PQ",UK,gb,Mondays,6:00 PM,,"Fully proxy-friendly, no entry fee, beginner friendly",,52.401247,0.267141,address
"Cambridge, England, UK",Northstowe Tap & Social,"Unit 2, The Mount, Station Rd, Northstowe, Cambridge CB24 3DS",UK,gb,Wednesdays,18:30,https://discord.gg/X9mPMnCbV6,"Full proxy friendly, no entry fee, beginner friendly.",,52.292907,0.049979,address
"Cambridge, England, UK",The Tram Depot,"5 Dover St, Cambridge CB1 1DY",UK,gb,Fridays,18:30,https://discord.gg/X9mPMnCbV6,"Full proxy friendly, no entry fee, beginner friendly. Planning to start running tournaments soon.",,52.204657,0.132842,address
"Cheltenham, England, UK",Warpstorm Games,"The Runnings, Kingsditch Ln, Cheltenham GL51 9NJ",UK,gb,"Once a month, Sundays",,,"Fully proxy-friendly, £15 entry, 4-5 rounds, pack per win prizing",,51.916382,-2.095790,address
"Belfast, Northern Ireland, UK",Robins Hobby Cafe,"9 Queens Rd, Belfast BT3 9DT",UK,gb,"Once a month, Fridays",6:00 PM,https://discord.gg/maMMEFS8,"Full proxy-friendy, £3 entry",,54.607077,-5.909233,address
"Bristol, England, UK",Excelsior Games,"51 - 53 Merchant Street, Bristol, BS1 3EE",UK,gb,"Once a month, Sat or Sun",11:00 AM,https://discord.gg/QwaBwNm2rA,"Full proxy friendly, ~£3 entry.",,51.457001,-2.588599,address
